Country,2018 score,Change from 2017,Change from 2016,Change from 2015,Change from 2014,Change from 2013
South Sudan,113.4,0.5,0.4,1.1,0.5,2.8
Somalia,113.2,0.2,0.8,0.8,0.6,0.7
Yemen,112.7,1.6,1.2,4.6,7.3,5.7
Syria,111.4,0.8,0.6,3.5,9.8,14
Central African Republic,111.1,1.5,1,0.8,0.5,5.8
Democratic Republic of the Congo,110.7,0.7,0.7,1,0.5,1.2
Sudan,108.7,1.9,2.8,2.1,1.4,2.3
Chad,108.3,1.1,1.8,0.1,0.4,0.7
Afghanistan,106.6,0.7,1.3,1.3,0.1,0.1
Zimbabwe,102.3,0.7,1.8,2.3,0.5,2.9
Iraq,102.2,3.2,2.5,2.3,,1.7
Haiti,102,3.3,3.1,2.5,2.3,3.8
Guinea,101.6,0.8,2.2,3.3,1.1,0.3
Nigeria,99.9,1.7,3.6,2.5,0.2,0.8
Ethiopia,99.6,1.5,2.4,2.1,1.7,0.7
Guinea-Bissau,98.1,1.4,1.7,1.8,2.5,3
Kenya,97.4,1,0.9,,1.6,2.2
Burundi,97.4,1.5,3.3,0.7,0.3,0.2
Eritrea,97.2,0.9,1.4,0.3,1.7,2.2
Pakistan,96.3,2.6,5.4,6.6,6.7,6.6
Niger,96.2,1.2,2.2,1.6,1.7,2.8
Myanmar,96.1,0.4,0.2,1.4,1.8,1.5
Cameroon,95.3,0.3,2.5,1,2.2,1.8
Uganda,95.1,0.9,2.6,1.9,0.9,1.5
Libya,94.6,1.7,1.8,0.7,6.8,10.1
Cote d'Ivoire,94.6,1.9,3.3,5.4,7.1,8.9
Mali,93.6,0.7,1.6,0.5,3.8,4.3
North Korea,93.2,0.1,0.7,0.6,0.8,1.9
Republic of the Congo,93.1,0.3,0.9,2.3,3.5,3.1
Liberia,92.6,1.2,2.9,4.7,1.7,2.5
Mauritania,92.2,1.5,3.2,2.7,0.8,0.5
Bangladesh,90.3,1.2,0.4,1.5,2.5,2.2
Angola,89.4,1.7,1.1,1.3,2,2.3
Rwanda,89.3,1.5,2,0.9,1.2,
Sierra Leone,89.1,0.2,1.9,2.8,0.8,2.1
Egypt,88.7,1.1,1.5,1.3,2.3,1.9
Mozambique,88.7,0.3,0.9,1.8,2.8,5.9
Timor-Leste,88.3,2.2,2.5,2.3,2.7,3.2
Nepal,87.9,3.1,3.3,2.6,3.1,3.9
Swaziland,87.5,1.3,0.1,1.2,1.7,1.9
Zambia,87.2,0.6,0.9,2,1,0.6
Djibouti,87.1,1.8,2.6,1,,1.6
Gambia,87.1,2.3,0.3,1.7,4,5.3
Lebanon,86.8,1.4,2.8,1.3,0.1,0.5
Burkina Faso,86.5,1.5,2.9,2.7,2.5,3.7
Venezuela,86.2,3.3,4.6,7.6,9.5,10.9
Philippines,85.5,1.1,0.8,0.8,0.2,2.7
Malawi,85.5,2.5,2.1,1.4,3.6,3.7
Togo,85.2,1.3,0.6,1.6,2.6,2.6
Sri Lanka,84.9,1.7,2.8,5.7,7.7,8
Papua New Guinea,84.8,1.6,1.4,1.4,0.7,0.1
Iran,84.3,1.5,2.6,2.9,2.9,5.4
Cambodia,84,1.7,3.4,3.9,4.5,4
Madagascar,83.6,0.4,0.6,,0.5,0.9
Equatorial Guinea,83.4,1.6,1.8,1.4,1.9,2.7
Solomon Islands,83.1,1.7,2.2,2.8,3.3,2.1
Comoros,82.6,2.2,1.2,0.7,2.5,1.4
Turkey,82.2,1.4,4.9,7.7,8.1,6.3
Guatemala,81.8,1.3,1.4,1.4,1.5,1.1
Laos,80.7,1.7,3.7,3.8,3.6,3
Lesotho,80.1,1.6,0.8,0.2,1.5,0.7
Senegal,79.6,2.7,4,3.4,3.2,1.8
Tajikistan,79.5,2.3,4.3,3.9,5.1,5.7
Tanzania,79.4,0.9,2.4,1.4,1.4,1.7
Uzbekistan,79.1,2.4,4.4,6.3,7.2,7.8
Kyrgyzstan,78.6,1.7,2.5,3.6,5.3,7.1
Israel/ West Bank (weighted average),78.5,0.4,1.2,0.9,1,2.3
Honduras,77.3,1.8,2.5,0.9,0.6,1
Russia,77.2,2,3.8,2.8,0.7,0.1
Jordan,76.8,1.9,1.2,0.1,0.1,1.1
Colombia,76.6,2.3,3.6,5.9,6.5,7.2
India,76.3,1.6,3.3,3.1,0.6,1.2
Algeria,75.8,1,2.5,3.8,3,2.9
Benin,75.7,1.9,3.2,3.1,2.5,2.2
Nicaragua,75.3,2.1,3.7,3.7,3.1,3.9
Bolivia,75.2,1.6,3.3,2.8,3.7,5.6
Thailand,75,1.2,3.8,4.1,2,0.1
Azerbaijan,74.6,1.7,1.7,2.7,3.2,3.6
Fiji,74.5,2.4,1.7,2.3,4.5,6.3
Micronesia,74.4,2,2.7,0.8,0.2,1.5
Bhutan,74.3,1.7,3.3,4.4,6.6,7.5
Ecuador,74.2,3.1,1.4,1.7,3.1,4.4
Morocco,74,0.9,0.2,0.6,0.4,0.3
Georgia,74,2.5,4.9,5.3,8.7,10.2
South Africa,72.9,0.6,3,5.9,6.3,5.3
Turkmenistan,72.6,1.8,3.4,4.9,5.6,4.1
Ukraine,72.6,1.4,2.9,3.7,5.4,6.7
Gabon,72.5,1.3,0.5,1.2,0.3,0.4
Maldives,72.4,2,1.6,1.8,3,3
China,72.4,2.3,2.5,4,6.6,8.5
Indonesia,72.3,0.6,2.6,2.7,4.5,5.9
SÃ£o TomÃ© and PrÃ­ncipe,72.1,,0.8,1.6,3.7,2.5
Tunisia,72.1,2.1,2.5,3.7,5.4,4.4
Mexico,71.5,2.8,1.1,0.3,0.4,1.6
Bosnia and Herzegovina,71.3,1.7,3.3,6.1,4.6,5.2
El Salvador,71.2,1.9,1.3,0.2,0.8,2
Belarus,70.5,1.9,3.4,5.1,4.5,6.2
Guyana,70.4,0.9,0.5,0.1,0.6,0.4
Saudi Arabia,70.2,1,2,1.4,2.9,2.5
Peru,70.1,0.2,1.9,1.8,2.8,2.2
Paraguay,69.8,1.8,2.8,1.5,1.8,2
Moldova,69.5,2.5,3.7,3.5,5.6,7
Armenia,69.5,1.5,0.1,0.2,1.8,1.8
Dominican Republic,69.2,0.2,1.6,2,4.2,4
Namibia,68.8,1.6,2.3,2,2.7,1.6
Brazil,68.7,0.5,3.4,6.1,7.3,6.6
Vietnam,68.4,1.8,2.3,4,4.3,4.7
Ghana,68.1,1.6,3.1,3.8,2.6,1
Serbia,68.1,1.9,3.9,5.7,3.9,6.3
Cape Verde,68,2.1,3.5,5.5,6.1,5.7
Samoa,65.5,1.6,2.1,2.7,3.8,3.2
Macedonia,64.8,1.3,2.2,0.3,1.6,3.2
Bahrain,64.4,0.5,1,0.1,0.3,1.5
Suriname,64,1.9,2.7,4.4,6.6,7.2
Belize,63.7,1.8,2.3,1.6,3.3,3.5
Malaysia,63.6,1.8,2.5,2.3,2.6,2.5
Kazakhstan,63.4,2.5,3.1,4.9,5.1,6.4
Jamaica,63.1,2.1,1.9,1.5,1.8,2.5
Cuba,62.9,1.7,3.4,4.5,7.9,9.9
