Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Venezuela,British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,0,0,0,0,0,0,0,0,0,0,0,3.728813559,1.945765184,0,0,0.299467255,0,7.788161994,0,0,0,0,0,0,0,0,11.53315258,0,0,0,0,0,0,1.358695652,0,1.43880489,0,0,0,0,0,0,0,5.814076282,0,0,0.790205818,0,0,0,0,0.827300931,0,1.53661704,0,0,1.255230126,-3.5621918,0,0,0,0,0,0,1.676599126,0.332829047,1.741191112,0,1.177758035,0,0,1.53661704,0,3.418127254,0,4.139935755,0,0,0,1.003576662,0,0,0,0,0,0,0,1.47783379,0,0,-1.190693153,0,0,0,0,-1.746238157,0,0,-5.030041596,0,0,0,0,0,39.59044369,0,0,1.783264746,0,0.450837269,9.822410813,3.478237904,1.988400809,2.228112421,2.350161414,3.274249138,0,3.574511525,0,1.243781095,0,0,0,0,7.965578039,0,2.266870992,0,0,0,0,0,0,0,0,0,-1.544676806,0,0,0,0,0,0.449620296,0,0,0,3.424299065,0,0,0,0,0,4.927518869,0,0,0,0,3.384615385,7.389937107,0,0,0,0,0,0,0,0,0.063182598,1.408335819,0,0,0,5.444327362,0,2.323943662,0.360492347,0,0,0.697929234,1.945765184,0,0,6.947368421,0.051177072,8.664459163,4.15482178,0,0,0,0,0,0,3.046592778,8.181818182,0,0,1.53661704,0,0,0,0,0,0,0,0.092240286,0,0,0,0,-0.038974199,0,0,0,0,0,0,0,0,2.857142857,0,0,4.141779151,0,0,0,5.118909513,0,0,0,0,0,-0.765864333,0,0,2.08,0,0,0,0,0,2.08,0,5.664739884,0,0,0,0,0,38.5040374,1.457975986,0,0,0,0,0,0,0,0,0,0,0,1.28887812,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,2.287581699,3.542256991,0,0,0.992676261,0,18.56213873,0,0,0,0,0,0,0,0,7.561493072,0,0,0,0,0,0,1.018766756,0,1.845389885,0,0,0,11.61649215,0,0,0,8.283190456,0,0,2.43079391,0,0,0,0,-0.615384615,0,2.293697156,0,0,3.451628586,-3.900000001,0,0,0,0,0,0,3.985620506,0.693606755,1.870849614,0,0.809255325,0,0,2.103561662,0,1.691001915,0,2.400461045,0,0,0,3.447496656,0,0,0,0,0,0,0,2.103561662,0,0,-0.553335383,0,0,0,0,1.562992374,0,0,3.779706383,0,0,0,0,0,13.69193154,0,0,1.752021563,0,2.756999359,3.162564396,0.916260432,4.711608746,6.789823404,2.050697313,6.698450536,0,5.368461785,0,2.457002457,0,0,0,0,8.195648958,0,3.105250147,0,0,0,0,0,0,0,0,0,1.13444364,0,0,0,0,0,0.482433591,0,0,0,1.763124605,0,0,0,0,0,1.608759691,0,0,0,0,2.511321531,-0.146412883,0,0,0,0,0,0,0,0,-0.180407722,1.044745452,0,0,0,6.279147235,0,1.307639367,2.155172777,0,0,1.79770429,2.155172777,0,0,1.640419948,0.613810742,5.916708988,1.595633005,0,0,0,0,0,0,1.54899697,18.48739496,0,0,2.077129487,0,0,0,0,0,0,0,8.760511462,0,0.4,0,0,-2.682470368,0,0,0,0,0,0,0,0,1.709401709,0,0,2.15797311,0,0,0,1.958890882,0,0,0,0,0,7.386990077,0,0,2.43079391,0,0,0,0,0,1.522757698,0,3.172856997,0,0,0,0,0,22.74726399,1.070724148,0,0,0,0,0,0,0,0,0,0,0,2.102342706,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,-0.319488818,4.381780854,0,0,1.404607035,0,1.675909561,0,0,0,0,0,0,0,0,5.879331422,0,0,0,0,0,0,1.061571125,0,4.315998865,0,0,0,-1.341248901,0,0,0,4.697093951,0,0,2.677859687,0,0,0,0,0.103199174,0,2.843271925,0,0,7.377819548,9.157127992,0,0,0,0,0,0,2.870885315,-3.003076588,2.752668052,0,5.70648671,0,0,4.196499145,0,4.383982782,0,5.331280071,0,0,0,4.196499145,0,0,0,0,1.787617876,0,0,-0.475436213,0,0,2.052550232,0,0,0,0,1.092150171,0,0,-0.55490426,0,0,0,0,0,131.3978495,0,0,3.57615894,0,4.263727121,0.721320572,1.292362165,11.01630006,9.408194068,4.691143607,1.407506702,0,6.835440348,0,3.117505995,0,0,0,0,6.618317756,0,2.076695284,0,0,0,0,0,0,0,0,0,1.503579953,0,0,0,0,0,0.895946647,0,0,0,5.096729081,0,0,0,0,0,1.198984178,0,0,0,0,0.168674699,-1.612903227,0,0,0,0,0,0,0,0,0.108440268,1.130172237,0,0,0,5.265632346,0,2.4311452,5.274259529,0,0,2.68085397,4.263727121,0,0,-0.516462234,0.788002034,6.641093264,5.796652201,0,0,0,0,0,0,2.662064179,1.418439716,0,0,3.519885535,0,0,0,0,0,0,0,1.662871366,0,0.41958042,0,0,0.096153846,0,0,0,0,0,0,0,0,2.100840336,0,0,4.766197219,0,0,0,-3.846153846,0,0,0,0,0,3.696098563,0,0,2.100840336,0,0,0,0,0,2.983352563,0,3.888320251,0,0,0,0,0,10.90742438,1.198773348,0,0,0,0,0,0,0,0,2.654867257,0,0,1.246289513,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0.641025641,2.708775285,0,0,2.148003413,0,5.574202829,0,0,0,0,0,0,0,0,-0.706357215,0,0,0,0,0,0,1.628151261,0,3.440212018,0,0,0,0.94346631,0,0,0,26.35543553,0,0,2.931618471,0,0,0,0,1.958762887,0,2.966958325,0,0,6.105032823,8.579599619,0,0,0,0,0,0,5.939509059,0.746645708,2.921640394,0,8.74369245,0,0,2.876322462,0,4.996381886,0,4.999152898,0,0,7.158333332,2.018541804,0,0,0,0,4.616128253,0,0,3.184716045,0,0,0.151450899,0,0,0,0,3.081456019,0,0,4.306821754,0,0,0,0,0,145.9107807,0,0,2.941176471,0,2.453620587,0.371849607,3.954957429,12.92801598,6.581137365,7.454718225,1.762502754,0,6.706905564,0,0.697674419,0,0,0,0,20.69162906,0,2.514760284,0,0,0,0,0,0,0,0,0,2.2729054,0,0,0,0,0,2.876322462,0,0,0,5.699711687,0,0,0,0,0,0.594055008,0,0,0,0,1.876353139,-2.682563338,0,0,0,0,0,0,0,0,3.105253656,1.433910341,0,0,0,-2.694655352,0,3.243659328,2.471610529,0,0,1.968498504,2.966958325,0,0,1.456488448,0.449887528,6.070143884,5.62554937,0,0,0,0,0,0,2.021582728,2.097902098,0,0,2.874031403,0,0,0,0,0,0,0,4.688232536,0,2.205199629,0,0,1.569004163,0,0,0,0,0,0,0,0,2.057613169,0,0,2.871740345,0,0,0,1.916666667,0,0,0,0,0,0,0,0,2.931618471,0,0,0,0,0,3.761203585,0,6.362706928,0,0,0,0,0,21.25469572,1.239669421,0,0,0,0,0,0,0,0,0.689655172,0,0,1.337967944,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,2.866242038,3.868574795,0,0,4.168760586,0,1.845123198,0,0,0,0,0,0,0,0,10.18181818,0,0,0,0,0,0,1.912144703,0,3.080553924,0,0,0,0.618192523,0,35.42106498,0,17.07243522,0,0,3.32403316,0,0,0,0,-0.303336705,0,2.335723499,0,0,3.092783505,2.107111501,0,0,0,0,0,0,4.034204538,3.660982949,3.656736639,0,6.979250995,0,0,3.387662311,0,10.27586074,0,3.211191703,0,0,3.328408119,3.281589997,0,0,0,0,-4.535653781,0,0,0.617284452,0,0,-0.193563997,0,0,0,0,4.472101471,0,0,9.162145871,0,0,0,0,0,108.994709,0,0,13.35403727,0,6.717289719,3.814489572,-0.09013652,19.24505104,5.172750423,5.912322532,2.013422819,0,3.800389453,0,-0.099304867,0,0,0,0,29.46281568,0,3.679118849,0,0,0,0,0,0,0,0,0,3.195647176,0,0,0,0,0,3.096381512,0,0,0,4.021541474,0,0,0,0,0,2.337903172,0,0,0,0,2.180243999,-0.459418069,0,0,0,0,0,0,1.895574173,0,-0.402731571,1.595528134,0,0,1.004016064,0.856793146,0,5.823766469,5.867015388,0,0,3.474905477,3.444898482,0,0,4.179586881,2.413535705,9.792284867,8.183079057,0,0,0,0,0,0,3.444898482,1.369863014,0,0,3.334626154,0,0,0,0,0,0,2.799999999,3.950838434,0,1.726095844,0,0,1.757566204,0,0,0,0,0,0,0,0,4.233870968,0,0,3.387662311,0,0,0,5.396565822,0,0,0,0,0,-0.792079208,0,0,3.32403316,0,0,0,0,0,0.863797624,0,1.119637815,0,0,0,0,0,42.3694157,1.278911565,0,0,0,0,0,0,0,0,5.308219178,0,0,2.534979686,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,3.405572755,4.93090648,0,0,4.065201375,0,-0.730252523,0,0,0,0,0,0,0,0,2.860286029,0,0,0,0,0,0,2.332657201,0,3.414480925,0,0,0,2.611176126,0,-2.726980278,0,7.590683669,0,0,-0.665000001,0,0,0,0,0.202839757,0,3.242322813,0,0,5.449999999,-1.891659501,0,0,0,0,0,0,3.069070662,14.83900446,3.666477086,0,13.21413526,0,0,4.065201375,0,4.940588068,0,2.703104559,0,0,2.438473696,4.773774287,0,26.44478485,0,0,1.218036622,0,0,3.220861496,0,0,-0.8,0,0,0,0,3.18627451,0,0,2.263942573,0,0,0,0,0,306.7631103,0,0,9.479452055,0,4.988123515,2.154374835,-0.455580866,7.317072443,7.708333264,4.519268307,2.631578947,0,6.655990943,0,3.578528828,0,0,0,0,13.54820329,0,2.745932488,0,0,0,11.425,0,0,0,0,0,0.222783306,0,0,0,0,0,3.333679329,0,0,0,3.48282122,0,0,4.201860366,0,0,3.568038657,0,0,0,0,1.602218456,17.69230769,0,0,0,0,0,0,1.785565983,0,-0.105485232,1.958913232,0,0,4.373757456,4.103458738,0,3.908026394,4.18722444,8.471869328,0,3.397489756,4.18722444,0,0,5.568635479,0.461613217,16.38996139,2.564102564,0,0,0,0,0,0,3.424927777,3.859298158,0,0,3.666477086,0,0,0,0,0,7.020252404,0.389105059,-2.446029391,0,0.178611297,0,0,0.456974673,0,0,0,0,0,0,0,0,1.934235977,0,0,5.012771296,0,0,0,-3.87897595,0,0,0,0,0,0.166333998,0,0,2.631578947,0,2.818598028,0,7.020252404,0,1.781617984,0,4.555533684,0,0,0,0,0,56.55655656,1.585169264,0,0,0,0,0,0,0,0,2.113821138,0,0,4.069023471,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,3.293413174,2.05481781,0,4.436860068,4.174347619,0,2.36410602,0,0,2.134471719,0,0,0,0,0,6.951871658,0,0,0,0,0,0,3.815659068,0,4.775984441,0,0,0,4.191317984,0,15.78010125,0,16.72816827,0,0,0.182882838,0,0,0,0,0.506072874,0,3.533055524,0,0,7.064959697,0.262927257,0,0,4.479810697,0,0,0,5.453726928,9.036440658,3.432367648,0,6.240359156,0,-1.361867705,3.873654019,0,3.873654019,0,2.602000766,0,0,3.644111381,3.909618081,0,13.23788546,0,0,0.239081925,0,0,4.903408334,0,0,0.684261974,0,0,0,0,1.784234657,0,0,8.301835853,0,0,0,0,0,1136.254112,0,0,10.81081081,0,3.054298641,-0.388148532,1.983218917,10.68664742,7.930367544,2.346588934,1.902398677,0,5.040832059,0,5.014395393,0,0,0,0,11.26138585,0,3.544491299,0,0,0,12.24291377,0,0,0,0,0,-0.15560166,0,0,0,0,0,3.331679773,0,0,0,-1.013579365,0,0,3.211573979,0,0,4.215788377,0,0,0,0,0.523123579,25.49019608,0,0,0,0,0,0,2.504895561,0,0.967969025,3.415367223,0,0,10.57142857,9.690346084,0,5.762146554,3.250563343,14.38897069,0,2.755480775,4.174347619,0,0,7.227621598,0.193470375,8.840603749,5.4,0,0,0,0,0,0,5.039267219,2.873194222,0,0,3.844656543,0,0,0,0,0,9.019216204,1.550387596,1.712463199,0,2.005794517,0,0,-1.187355436,0,0,0,0,0,0,0,0,4.743833017,0,0,6.404808253,3.177521008,0,0,3.793381759,0,0,0,0,0,4.035204251,0,0,4.09435805,0,2.888300338,0,9.019216204,0,4.09435805,0,8.471996215,0,9.777015439,0,0,0,73.46269321,3.015075377,0,0,0,0,0,0,0,0,2.866242038,0,0,3.489249619,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,3.47826087,3.974672001,0,-1.089324619,2.730302686,0,-4.333753909,0,0,4.258098223,5.437756499,0,0,0,0,11.2,0,3.634875153,0,0,0,0,3.579952267,0,4.0051927,0,0,0,2.291851953,0,36.92652487,0,8.328191364,0,0,1.208340311,0,0,0,0,0.704934543,0,1.796052206,0,0.952456544,8.207853558,1.238344989,0,0,1.977741547,0,0,0,3.818138157,0.701897484,2.987546067,0,6.39164209,0,0.808678501,3.18331504,0,5.377781834,0,2.791777094,0,0,1.977741547,2.482113528,0,-8.422485898,0,0,1.407218954,0,0,1.841330313,0,0,0.485436893,0,0,0,0,2.091840987,0,0,-2.935310981,0,0,0,0,0,106,0,0,13.0532972,0,3.18331504,1.59761008,3.290949888,3.320220946,1.70609316,3.733338321,3.023538961,0,3.989848089,0,1.759195796,0,0,0,0,10.88244215,0,2.091840987,0,0,0,7.296108742,0,0,0,0,0,2.189239332,0,0,0,0,0,2.166156987,0,0,0,-0.748276994,0,0,0.815190377,0,0,3.016948475,0,0,0,0,0.693868316,0.833333332,0,0,0,0,0,0,1.878532198,0,4.57556214,3.176368945,0,0,0.430663221,-3.726336765,0,3.455320053,4.579269758,-2.808331383,0,6.056920063,3.579952267,0,0,6.811399634,1.375814627,9.783602561,6.253953194,0,0,0,0,0,0,5.526476008,1.365267592,0,0,3.634875153,0,0,0,0,1.4529273,4.500319483,2.099236642,11.01355589,0,3.342800961,0,0,1.466916355,0,0,0,0,0,0,0,0,10.6884058,0,0,4.28931923,1.824043438,0,0,6.454121306,0,0,0,0,-2.318840581,4.309656824,0,0,2.114049823,0,2.444279984,0,4.500319483,0,2.13625866,0,13.97489295,0,12.1875,0,0,0,89.27529729,2.772785623,0,0,0,0,0,0,0,0,-0.515995872,0,0,3.538965883,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,2.521008403,2.764860589,0,6.057268722,2.701449829,0,-0.286713688,0,0,3.25732899,4.541031463,0,0,0,0,5.470623502,0,7.488743187,0,0,0,0,4.055299539,0,2.395827469,0,0,0,5.350454789,0,53.32167271,0,7.447538783,0,0,4.093891431,0,0,0,0,3.766666666,0,1.470311644,0,5.369919019,8.005207104,0.035976399,0,0,2.079221858,0,0,0,4.31765613,-1.675759425,3.24282618,0,4.954360592,0,0.182612666,3.720791771,0,9.191667995,0,4.543204864,0,0,2.335604059,4.697426209,0,7.894736842,0,0,4.17875343,0,0,0.139057819,0,0,1.926328502,0,0,0,0,1.86122449,0,0,1.316211878,0,0,0,0,0,128.8430421,0,0,2.996404315,0,4.680851064,0.690360522,2.196475983,0,2.079221858,1.277313354,5.92869805,0,5.339432957,0,0.36671157,0,0,0,0,10.77181958,0,2.537680713,0,0,0,0.391231447,0,0,0,0,0,5.860566449,0,0,0,0,0,2.62542909,0,0,0,0.436479069,0,0,0.956513164,0,0,2.333950935,0,0,0,0,2.037300577,2.376033058,0,0,0,0,0,0,6.977107587,0,-0.158346529,4.163547846,0,0,-2.923098913,-0.476059059,0,3.720791771,3.448293243,1.179869974,0,4.311924966,3.888045655,0,0,0.170627348,1.61904762,19.08661855,2.358806459,0,0,0,0,0,0,6.081361711,0.708073578,0,0,3.720791771,0,0,0,0,3.161936973,2.088137144,1.588785047,-10.03389536,0.058333333,0.655391121,0,0,2.537680713,0,0,0,0,0,0,0,0,0.163666121,0,0,1.943125825,3.449425095,0,0,2.848794741,0,0,0,0,0.296735906,1.790359602,0,0,3.315786072,0,0.563419796,0,2.088137144,0,8.232052007,0,6.046239662,0,15.5988858,0,0,0,125.3369911,4.271796153,0,0,0,0,0,0,0,0,1.711618257,0,0,1.986127529,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,3.278688525,3.080397267,0,4.023883697,3.753992291,0,9.655529358,0,0,-0.194127639,8.935774123,0,0,0,0,2.209748473,0,5.835231866,0,0,0,0,4.561558902,0,2.489025898,0,0,0,4.450228542,-1.101591187,6.176195735,0,6.98166308,0,0,2.629340837,0,0,0,0,2.38515901,0,1.912666559,0,4.215788689,3.487919244,0.956628066,0,0,2.975139247,0,0,0,6.326681449,3.409820282,2.648069614,0,2.160340151,0,1.425688431,2.691994586,0,2.205610935,0,6.045962842,0,0,2.975139247,5.446666096,0,7.317073163,0,0,5.012040939,0,0,2.638886495,0,0,2.097280645,0,0,0,0,1.258214457,0,0,1.413181242,0,0,0,0,0,15.47987022,0,0,0.574712644,0,7.418699186,3.593194516,5.739253661,0,2.458054256,2.657252734,6.303458535,0,5.249820911,0,-0.171501007,0,0,0,0,12.38956768,0,2.629340837,0,0,0,9.785970555,0,0,0,0,0,7.456952734,0,0,0,0,0,2.29443437,0,0,0,2.949891354,0,0,3.828872827,0,0,3.367003367,0,0,0,0,2.334287602,-4.339051463,0,0,0,0,0,0,2.315220567,0,-0.409015025,5.011972551,0,0,10.64566002,10.1559792,0,7.421797364,2.962949511,4.057591623,0,4.925242427,3.427461306,0,0,3.186986796,1.827553889,6.236158061,1.955510323,0,0,0,0,0,0,8.782771056,2.246847536,0,0,3.278688525,0,0,0,0,0.484939553,3.622289209,3.495860166,12.60686857,4.022653452,-0.27305188,0,0,-0.19499025,0,0,0,0,0,0,0,0,11.2745098,0,0,2.691994586,3.205541238,0,0,-1.988636364,0,0,0,0,6.015779093,2.45039086,0,0,2.532271776,0,3.501507399,0,3.622289209,0,2.435202716,0,4.924193945,0,16.41566265,0,0,0,20.96666667,5.4623862,0,0,0,0,0,0,0,0,4.13054564,0,0,3.23823316,0,0
