Country Name,Country code,COPR,TPP ,ECO
Venezuela,VEN,302.25,1527,1725
Saudi Arabia,SAU,266.21,12419,7334
Canada,CAN,170.54,5295,2750
Iran,IRN,157.2,4471,1897
Iraq,IRQ,148.77,4616,3577
Kuwait,KWT,101.5,2870,2128
United Arab Emirates,UAE,97.8,3791,2488
Russia,RUS,80,11401,5114
Libya,LBA,48,1077,239
United States,USA,42,17885,591
Nigeria,NGA,37.45,2059,1655
Kazakhastan,KAZ,30,1959,1246
China,CHN,25.63,4861,59
Qatar,QAT,25.24,1943,503
Brazil,BRA,12.63,3428,832
Mexico,MEX,6.63,2084,1236
Norway,NOR,6.38,1864,1395
