,Country Code_y,Country Name,Political model,GDP-2012,GDP -2013,GDP-2014,GDP-2015,GDP-2016,GDP-2017,ICP-2012,ICP-2013,ICP-2014,ICP-2015,ICP-2016,ICP-2017,UG2012,UG2013,UG2014,UG2015,UG2016,UG2017,UG2018,UY2012,UY2013,UY2014,UY2015,UY2016,UY2017,UY2018,2018 score,Status
0,DZA,Algeria,Dictatorship,2.09E+11,2.1E+11,2.14E+11,1.66E+11,1.6E+11,1.68E+11,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,10.97000027,9.819999695,10.60000038,11.19999981,10.19999981,10.12899971,10.06599998,27.57699966,25.05699921,25.77799988,29.89800072,24.25699997,24.3010006,24.34799957,75.8,1
1,AGO,Angola,Dictatorship,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11,1.22E+11,10.27790492,8.777814293,7.280387304,10.27804607,32.37773407,31.69168614,7.347000122,7.330999851,7.306000233,7.281000137,7.723999977,8.166999817,8.543000221,16.95700073,16.99799919,16.9489994,16.90500069,18.03100014,19.09000015,19.99099922,89.4,0
2,BEN,Benin,Democracy,8152554487,9157355680,9707432016,8291155881,8573159697,9246696924,6.744416882,0.890008647,-1.006043873,0.273667816,-0.848347682,0.079070843,2.644000053,2.637000084,2.631000042,2.627000093,2.54399991,2.46600008,2.394999981,5.40500021,5.410999775,5.40899992,5.399000168,5.28399992,5.18599987,5.099999905,75.7,1
3,BWA,Botswana,"Capitalism,Democracy",14420393569,14901750765,16250750259,14406496464,15648632362,17406565823,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,17.49300003,17.71800041,17.34900093,17.01499939,17.11700058,17.35700035,17.61800003,35.1590004,35.50500107,35.23099899,34.99700165,35.27299881,35.69599915,36.1609993,62,1
4,BFA,Burkina Faso,Democracy,11166063467,11947176342,12377391463,10419303761,10886363727,12322864245,3.818152403,0.533738507,-0.258089518,0.954993317,-0.244764126,0.368047036,5.548999786,6.002999783,6.5,6.493999958,6.390999794,6.303999901,6.227000237,7.479000092,7.997000217,8.56099987,8.559000015,8.552000046,8.562999725,8.572999954,86.5,0
5,BDI,Burundi,Dictatorship,2333308099,2451625333,2705783272,3104394858,2959185295,3172416146,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,1.514999986,1.485999942,1.570000052,1.57099998,1.590999961,1.552999973,1.51699996,2.759000063,2.736999989,2.91899991,2.904999971,2.957999945,2.898999929,2.839999914,97.4,0
6,CMR,Cameroon,Dictatorship,29104437355,32348149947,34942948737,30916218544,32621535419,34922782311,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383,0.64040915,4.225999832,4.277999878,4.320000172,4.296000004,4.261000156,4.242000103,4.230000019,7.671999931,8.362000465,9.046999931,9.045000076,9.024000168,8.944000244,8.876999855,95.3,0
7,CAF,Central African Republic,Dictatorship,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659,5.772250594,1.501845124,25.28281065,37.14221481,0,0,6.297999859,6.287000179,6.342999935,6.393000126,6.159999847,5.952000141,5.765999794,11.45400047,11.27000046,11.41300011,11.45899963,11.02900028,10.61200047,10.23099995,111.1,0
8,TCD,Chad,Dictatorship,12368071039,12949854263,13922223234,10945989472,10090922857,9871247732,14.01820542,0.145451048,1.680835875,3.669900434,0,0,5.703999996,5.69299984,5.68200016,5.659999847,5.784999847,5.886000156,5.923999786,10.19299984,10.15600014,10.16899967,10.10499954,10.14400005,10.13700008,10.11900043,108.3,0
9,CRI,Costa Rica,"Capitalism,Democracy",46473128285,49745088112,50577769838,54775994478,57157992434,57285984448,4.495559566,5.231189489,4.519346498,0.801857162,-0.017471924,1.625723304,9.899999619,8.960000038,9.119999886,9.260000229,8.979999542,8.140000343,8.034999847,23.18400002,22.89999962,25.11499977,23.09900093,23.42200089,21.00499916,20.85000038,43.2,1
10,CIV,Cote d'Ivoire,Democracy,26790579775,31273049200,35343298114,39633467836,35389998639,37353276059,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,2.914000034,2.83100009,2.747999907,2.664999962,2.599999905,2.599999905,2.601000071,4.149000168,4.032999992,3.917999983,3.803999901,3.713999987,3.697999954,3.684999943,94.6,0
