Country Name,Country Code,GDPGROWTH2014,GDPGROWTH2015,GDPGROWTH2016,GDPGROWTH2017,EXPORT2014,EXPORT2015,EXPORT2016,EXPORT2017,TRADE2014,TRADE2015,TRADE2016,TRADE2017,INFLATION-2014,INFLATION-2015,INFLATION-2016,INFLATION-2017
Aruba,ABW,0.84822781,-0.450585761,-0.211225106,1.330511037,69.85030571,69.6139477,69.83959477,70.81092263,149.6099515,145.2469905,144.4702406,146.0488209,0.421637771,0.475066611,-0.886758352,-0.481314508
Afghanistan,AFG,2.724543365,1.451314655,2.260314205,2.665292046,15.78237739,11.68798401,5.933360842,5.904815515,67.19592475,55.1255266,47.65905543,51.2368808,4.673996035,-0.661709165,4.383891955,4.975951506
Angola,AGO,4.822625551,0.943575613,-2.580097243,-0.147207422,44.69503125,29.75459949,28.12448456,29.00410005,79.33292751,62.88852078,53.37015528,52.25682145,7.280387304,10.27804607,32.37773407,31.69168614
Albania,ALB,1.77,2.22,3.35,3.835543845,28.21297136,27.26738418,28.9234171,31.52427158,75.40781406,71.8010161,74.66925967,78.08145608,1.613042353,1.910016978,1.275125281,1.993928105
Arab World,ARB,2.45663672,3.30376869,3.239563335,0.98717606,50.95145386,43.95257567,40.91532953,44.03415763,93.14155054,88.85293292,82.6510655,84.94989958,2.772611584,1.610185208,1.844390956,1.783018086
United Arab Emirates,ARE,4.398696682,5.064701529,2.988441821,0.790400388,99.11504126,100.8704802,101.0030139,100.3838415,168.0502337,175.2213076,176.747648,172.8105269,2.346268657,4.069966084,1.615925039,1.968875568
Argentina,ARG,-2.512615321,2.731159828,-1.82254217,2.854466137,14.40547859,10.70565205,12.58383239,11.1815699,28.40679365,22.48622609,26.12191381,25.02083649,,,,
Armenia,ARM,3.6,3.2,0.2,7.5,28.5651387,29.72799648,33.14800495,37.31976764,75.61168484,71.59326535,75.91788003,86.86809418,2.981308689,3.731691193,-1.403607559,0.969553269
American Samoa,ASM,0.94488189,1.248049922,-2.619414484,-5.379746835,66.25194401,64.59909228,65.39050536,57.41324921,171.6951788,163.9939486,162.4808576,150.1577287,,,,
Antigua and Barbuda,ATG,4.658128449,4.025739082,5.589739135,3.032606112,46.31165665,44.30517122,41.57287507,,104.5278771,93.62954254,88.45854358,,1.089441574,0.968993459,-0.489437796,2.43248789
Australia,AUS,2.558337523,2.351136441,2.827310511,1.957575422,21.07576502,20.01296407,19.25302663,21.27035363,42.5798483,41.54738733,40.77147319,41.89297006,2.487922705,1.508366722,1.276990945,1.948647409
Austria,AUT,0.661274653,1.142980101,2.039574983,2.55088076,53.38657905,53.09026348,52.34258687,53.73308894,103.5035353,102.4300547,101.0020251,104.3757952,1.605804145,0.896565316,0.891592367,2.081268583
Azerbaijan,AZE,2,1.099999809,-3.100000202,0.099999814,43.27355666,37.79477749,46.42764939,48.68817468,69.4832252,72.60150791,90.07731873,90.6635907,1.389726358,4.009438267,12.44949552,12.90489121
Burundi,BDI,4.240651644,-3.900003086,-0.60002,0.50001,8.700002079,6.418759976,6.407934323,,43.00001027,22.85071109,23.05617841,,4.405352342,5.544688913,5.557689614,16.0525353
Belgium,BEL,1.254676984,1.716681317,1.488679627,1.692882524,82.66622776,80.79933296,82.72188382,85.78211369,164.6983928,160.1720103,164.1156473,170.3994448,0.340002833,0.561429153,1.973852647,2.12597086
Benin,BEN,6.351831941,2.095808383,3.96485991,5.837823305,31.33347224,24.43981936,24.82783287,27.2863996,74.17685592,58.79788478,61.09065665,67.57712844,-1.006043873,0.273667816,-0.848347682,0.079070843
Burkina Faso,BFA,4.326837357,3.894548057,5.934135105,6.302096059,22.26163854,22.95119853,25.9674053,25.98657678,46.62500864,47.94790441,51.94037852,52.34069405,-0.258089518,0.954993317,-0.244764126,0.368047036
Bangladesh,BGD,6.061059359,6.552652796,7.113489474,7.284184092,18.98966,17.33667379,16.64971496,15.03610763,44.5140802,42.08599631,37.95429635,35.30400009,6.992081513,6.193840909,5.513525727,5.702070157
Bulgaria,BGR,1.837521148,3.471186041,3.936758149,3.811248158,64.91797603,64.10439943,63.97864655,67.3689784,130.7773771,128.0610148,123.6437905,131.0759334,-1.418183803,-0.104633261,-0.79874909,2.064355063
Bahrain,BHR,4.34984233,2.861967825,3.470923702,3.803522262,96.05075125,82.4167843,73.74289237,75.44272215,175.5646506,154.0673928,139.131869,142.8315153,2.646291465,1.839519875,2.800594698,1.38734376
"Bahamas, The",BHS,-0.147988573,1.044959524,-1.689549856,1.437191339,37.86608015,34.98130136,35.80852789,33.65454979,87.71230139,73.68706698,73.48633307,75.46394126,1.506998589,1.86826447,-0.34637693,1.518207007
Bosnia and Herzegovina,BIH,1.149622102,3.076822671,3.144069998,3.186202561,33.9837697,34.75919574,35.52927468,38.87381734,90.65381372,88.08738013,87.76174107,94.56673835,-0.897194054,-1.023285045,-1.089130318,1.168812637
Belarus,BLR,1.726384854,-3.829570558,-2.526446436,2.421904374,54.94100406,58.01076657,62.50934712,67.04341296,110.6514244,115.9148262,125.2093229,134.1053622,18.11955435,13.53448976,11.83658077,6.031837252
Belize,BLZ,3.692371465,3.431950484,-0.58802365,1.437288946,61.20734107,57.52401368,51.68397798,54.20844127,125.315638,122.3304113,112.2198743,111.8271019,,,,
Bermuda,BMU,,,,,,,,,,,,,,,,
Bolivia,BOL,5.460569752,4.857187895,4.263919404,4.195207019,43.29308812,30.86829588,24.48800571,24.90414433,85.26446981,67.93284494,56.40103455,56.70465284,5.764576458,4.060963726,3.625239368,2.822185557
Brazil,BRA,0.50395574,-3.545763393,-3.305454313,1.06386126,11.01194282,12.90019142,12.4709021,12.5734556,24.68540582,26.95362594,24.5419928,24.14448019,6.329152227,9.029807186,8.7391283,3.446367832
Barbados,BRB,0.018086453,0.904159132,2.007168459,1,40.77923769,35.22790485,36.40608958,37.9810827,91.47742684,79.00046901,82.61997549,82.8433583,1.769503221,-1.112789925,1.281928131,4.66018464
Brunei Darussalam,BRN,-2.34974675,-0.566814609,-2.465514923,1.328751616,68.71895714,52.21059737,49.57777738,49.57330641,99.36944921,84.89706379,87.31980133,85.17686018,-0.207108732,-0.415121926,-0.739068722,-0.171311525
Bhutan,BTN,5.745455168,6.644564258,8.022101221,4.629101391,36.28465253,33.21936009,27.41570372,29.09194977,93.62265911,96.41821166,77.68976254,78.64533616,8.271060939,4.548143951,4.310168755,3.858200035
Botswana,BWA,4.149252786,-1.697935502,4.315486504,2.360080745,60.83018988,52.23493874,49.74941621,39.8277025,114.7726626,105.7945451,92.91097355,73.75534162,4.402253092,3.062031696,2.814957914,3.308280768
Central African Republic,CAF,1.040018047,4.799886081,4.531285963,4.299938053,13.03008901,12.61192275,12.72904297,12.51808781,50.592605,47.19062219,42.75433508,44.29288772,25.28281065,37.14221481,,
Canada,CAN,2.855739204,1.000882494,1.414102746,3.047350681,31.53689616,31.61644997,31.18991572,31.04885644,64.05762293,65.75532511,64.82875981,64.45632525,1.906635907,1.125241361,1.428759547,1.596884129
Central Europe and the Baltics,CEB,3.049593397,3.828538549,3.143887549,4.757049822,62.42731801,62.98441499,63.8931725,65.41639567,122.139986,122.636758,123.3138275,126.7875971,0.053821313,-0.492326007,-0.054999542,2.075935537
Switzerland,CHE,2.449218097,1.333369086,1.601223556,1.616692155,64.2737114,62.21614788,65.83876562,64.90901879,116.8601163,112.730195,120.1597991,119.1075285,-0.01322916,-1.143900644,-0.434607639,0.533795988
Channel Islands,CHI,,,,,,,,,,,,,,,,
Chile,CHL,1.766739784,2.305257138,1.265867603,1.489906004,33.10535546,29.36666904,28.18355638,28.70361194,65.26195391,58.95284382,55.51270319,55.69508073,4.395,4.348867283,3.786661771,2.182469485
China,CHN,7.297665959,6.900204817,6.7,6.9,23.49505827,21.34807161,19.65837757,19.7573801,44.87656028,39.45306552,37.03381668,37.8033996,1.921643416,1.437024514,2,1.593137255
Cote d'Ivoire,CIV,8.79407739,8.842865442,7.971745738,7.702089422,39.27465106,37.71798058,33.39907508,34.00657015,73.64524821,71.96487785,63.74837762,65.70747177,0.448682077,1.251499548,0.723178458,0.685881065
Cameroon,CMR,5.884059327,5.651463744,4.648481551,3.549087318,24.93807419,22.25966622,19.23934954,18.58391647,55.06479448,49.869207,43.20451792,41.18996694,1.854898504,2.676235314,0.874190383,0.64040915
"Congo, Dem. Rep.",COD,9.470288097,6.91618781,2.399379098,3.70085075,36.83218885,27.7255678,27.21898417,35.60336287,78.69015013,59.33243096,59.59084634,75.03500043,1.243038898,0.744198995,2.885851073,
"Congo, Rep.",COG,6.779916158,2.646485877,-2.800018788,-3.1,72.98675034,69.27556739,66.46572105,94.03353272,143.2393833,165.6458629,152.1423458,159.2039381,0.912139545,3.169097968,3.190561797,0.450063823
Colombia,COL,4.728312246,2.955945907,1.962614267,1.789192546,16.63474911,15.65021151,14.54350561,14.55264492,37.48751807,38.36076412,35.91992842,34.25836415,2.898838115,4.989829057,7.513460597,4.314313175
Comoros,COM,2.100006438,1.099964632,2.188197456,2.707658829,9.676472177,9.905299876,10.65224883,11.61818696,39.2358232,36.9437708,36.88049751,40.13621781,,,,
Cabo Verde,CPV,0.611212666,1.006863707,4.705791509,4.013257244,40.36113969,44.90744231,44.229689,47.44609542,101.0464397,104.066089,104.1918617,114.3276153,-0.238778145,0.131187999,-1.408430485,0.783900981
Costa Rica,CRI,3.515338564,3.631731441,4.245989878,3.280464528,32.25500516,30.82494048,32.09551247,33.34497699,67.04554822,62.5182964,63.9275352,66.26461525,4.519346498,0.801857162,-0.017471924,1.625723304
Caribbean small states,CSS,0.659092484,1.051289334,-1.862432112,0.191942013,,,,,,,,,1.298220082,0.226772714,1.058968096,2.028996322
Cuba,CUB,1.047576632,4.438141959,0.513761468,1.783497627,22.08391192,17.14734945,14.98303601,14.54089271,39.27420155,31.61373991,27.26934442,26.21759197,,,,
Curacao,CUW,,,,,72.24137601,,,,157.5701116,,,,1.498739696,-0.47654205,-0.047207985,1.585588017
Cayman Islands,CYM,2.654529322,2.833122427,3.53565895,2.9,,,,,,,,,1.273979115,-2.347527702,-0.625258359,
Cyprus,CYP,-1.311465423,1.96230401,4.812187624,4.231414524,62.04209204,64.51080299,64.53364485,65.02606929,122.3181401,128.8232516,129.6708527,133.5747119,-1.354988854,-2.096997691,-1.687890723,0.531766496
Czech Republic,CZE,2.715116132,5.309238519,2.450542387,4.352603518,82.54569243,81.04930107,79.55561987,79.7260775,158.7269567,156.0998637,151.3946757,151.9288756,0.34398859,0.309364548,0.683504209,2.450533985
Germany,DEU,2.178066561,1.738967619,2.242235099,2.15710947,45.64481605,46.8597443,45.89704882,47.04723953,84.36525681,85.71197103,83.9622122,86.53371332,0.906797035,0.234429945,0.483355422,1.737916052
Djibouti,DJI,8.920584625,9.683798116,8.722260061,4.090263628,34.94218647,38.67626515,33.71373579,34.22659405,92.9227735,107.5167473,84.64915168,108.4882288,1.341864943,-0.847389734,2.738412087,0.568112117
Dominica,DMA,4.388895668,-2.550500001,2.522045734,-9.530268983,52.07953309,49.53090678,48.85227115,50.06774345,116.0011378,107.713772,103.4006061,113.7244402,0.799250373,-0.786447746,0.231336293,0.351079651
Denmark,DNK,1.619374971,2.342620274,2.39968219,2.262366309,54.61311905,55.41815871,53.59391605,54.54405213,102.2639205,104.0482116,100.4502394,101.9916743,0.56402054,0.452034154,0.25,1.14713217
